87,American Short Stories,Bert Hitchcock,9.78E+12,321484894,$76.05 ,Hardcover,Longman,7-Oct,8th Edition,"Short Story Anthologies, American Literature Anthologies",,760
88,Great Love Poems,Shane Weller,9.78E+12,486272842,$1.99 ,Paperback,Dover Publications,Oct-92,Special Value,"Poetry, American Literature Anthologies, Anthologies, General & Miscellaneous Poetry, English, Irish, & Scottish Poetry",,128
89,"The Harper American Literature, Single Volume Edition",Donald McQuade,9.78E+12,321012690,$89.47 ,Hardcover,Longman,Dec-98,3rd Edition,American Literature Anthologies,,2867
90,The Latino Reader: An American Literary Tradition from 1542 to the Present,Margarite Fernandez Olmos,9.78E+12,395765285,$13.98 ,Paperback,Houghton Mifflin Harcourt,Mar-97,None,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies, Literature Anthologies - General & Miscellaneous",,528
91,Black Nature,Camille T. Dungy,9.78E+12,820334316,$14.87 ,Paperback,University of Georgia Press,9-Dec,,"Poetry Anthologies, Poetry - General & Miscellaneous, American Poetry, African American Literature - Literary Criticism, American Literature Anthologies, U.S. & Canadian Poetry - General & Miscellaneous - Literary Criticism",,432
92,Anthology of American Literature Volume II,George McMichael,9.78E+12,132216477,$92.20 ,Paperback,Prentice Hall,7-Jan,9th Edition,Literary Collections,,
93,Best Remembered Poems,Martin Gardner,9.78E+12,048627165X,$5.94 ,Paperback,Dover Publications,Dec-92,,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,224
94,Nine Plays of the Modern Theater: Waiting for Godot; The Visit; Tango; The Caucasian Chalk Circle; The Balcony; Rhinoceros; American Buffalo; The Birthday Party; Rosencrantz and Guildenstern are Dead,Harold Clurman,9.78E+12,802150322,$15.00 ,Paperback,"Grove/Atlantic, Inc.",Jan-94,,"English, Scottish, & Welsh Drama, Drama Anthologies, American Drama, English & Irish Literature Anthologies, American Literature Anthologies",,912
95,"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 2",Sandra M. Gilbert,9.78E+12,393930149,$59.65 ,Hardcover,"Norton, W. W. & Company, Inc.",7-Feb,3rd Edition,"Literary Criticism, Women Authors",,
96,Writing New York: A Literary Anthology,Phillip Lopate,9.78E+12,1598530216,$24.02 ,Paperback,Library of America,8-Jan,Expanded,"American Literature Anthologies, General & Miscellaneous Literature Anthologies",,1050
97,The Best American Essays 2009,Mary Oliver,9.78E+12,1616836865,,Paperback,Houghton Mifflin Harcourt,9-Oct,Bargain,,,
98,The Hudson River Valley Reader,Edward C. Goodman,9.78E+12,1616823763,,Hardcover,Cider Mill Press,9-Mar,Bargain,,,
99,The Best American Poetry 2009,David Wagoner,9.78E+12,743299779,$16.00 ,Paperback,Simon & Schuster Adult Publishing Group,9-Sep,,"Poetry Anthologies, American Poetry, American Literature Anthologies",,240
100,Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,Robert Shapard,9.78E+12,039333645X,$11.05 ,Paperback,"Norton, W. W. & Company, Inc.",10-Mar,Original,"Short Story Anthologies, General & Miscellaneous Latin American Literature - Literary Criticism, Peoples & Cultures - American Anthologies, Short Stories - Literary Criticism, Latin American Fiction",,336
101,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,Arnold Adoff,9.78E+12,689808690,$5.84 ,Mass Market Paperback,Simon & Schuster Children's Publishing,Jan-97,Revised,"Poetry, American Literature Anthologies, Anthologies",,192
102,Classic American Autobiographies,William L. Andrews,9.78E+12,451529154,$6.94 ,Mass Market Paperback,Penguin Group (USA),3-Nov,Reissue,"Historical Biography - United States - General & Miscellaneous, American Literature Anthologies",,464
103,Mental Floss: Scatterbrained,Editors Of Mental Floss,9.78E+12,60882506,$10.72 ,Paperback,HarperCollins Publishers,6-Jul,,"Humor, American Literature Anthologies, General Reference",,256
104,The Portable Sixties Reader,Ann Charters,9.78E+12,142001945,$13.79 ,Paperback,Penguin Group (USA),2-Dec,,"American Fiction & Literature Classics, Post-World War II American History - General & Miscellaneous, American Literature Anthologies",,672
105,Modern American Memoirs,Annie Dillard,9.78E+12,60927631,$11.99 ,Paperback,HarperCollins Publishers,Oct-96,Reprint,"Historical Biography - United States - General & Miscellaneous, U.S. Authors - 20th Century - Literary Biography, American Literature Anthologies",,464
106,Best American Spiritual Writing 2007,Philip Zaleski,9.78E+12,641974124,,Paperback,Houghton Mifflin Company,7-Oct,Bargain,,,
107,The Norton Anthology of American Literature: Volume D: 1914-1945,Jerome Klinkowitz,9.78E+12,393927423,$37.77 ,Paperback,"Norton, W. W. & Company, Inc.",7-Apr,7th Edition,American Literature Anthologies,,910
108,Making Literature Matter: An Anthology for Readers and Writers,John Schilb,9.78E+12,312474911,,Paperback,Bedford/St. Martin's,8-Aug,4th Edition,"Language Arts &amp; Disciplines, General",,
109,"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,9.78E+12,1558850031,$4.90 ,Hardcover,Arte Publico Press,Jan-90,1st Edition,Peoples & Cultures - American Anthologies,,189
110,In Our Own Words: Student Writers at Work,Rebecca Mlynarczyk,9.78E+12,521540283,$33.09 ,Paperback,Cambridge University Press,5-Apr,3rd Edition,"Nonfiction Writing - General & Miscellaneous, English Language Readers, Rhetoric - English Language, American Literature Anthologies, ESL (English as a Second Language) - Reference",,288
111,Touch,Toni Press-Coffman,9.78E+12,822220555,$7.20 ,Paperback,"Dramatists Play Service, Incorporated",5-Nov,,"Drama Anthologies, American Drama, Love & Relationships - Drama, American Literature Anthologies",,51
112,"The American Tradition in Literature, Volume 1(book alone)",George Perkins,9.78E+12,77239040,$100.79 ,Paperback,"McGraw-Hill Companies, The",8-Oct,12nd Edition,American Literature Anthologies,,2040
113,The Four Seasons: Poems,J. D. McClatchy,9.78E+12,307268349,$11.16 ,Hardcover,Knopf Doubleday Publishing Group,8-Jun,,"Poetry Anthologies, American Poetry, English Poetry, Literature Anthologies - General & Miscellaneous, English & Irish Literature Anthologies, American Literature Anthologies",,256
